"System Name","Body Name","Body Subtype","Is Terraformable","Distance To Arrival","Estimated Scan Value","Estimated Mapping Value","Jumps"
"Synuefe RF-D c29-0","Synuefe RF-D c29-0 12","Class II gas giant","No","1539","30784","102613","0"
"HIP 64921","HIP 64921 2","Metal-rich body","No","55","35450","118166","1"
"HIP 61233","HIP 61233 1","Metal-rich body","No","13","35849","119496","1"
"HIP 61233","HIP 61233 3","Metal-rich body","No","40","35728","119093","0"
"HIP 66660","HIP 66660 6 a","Rocky body","Yes","1520","138903","463009","1"
"32 G. Apodis","32 G. Apodis 6","High metal content world","Yes","2751","167022","556739","1"
"HIP 92722","HIP 92722 B 1","Metal-rich body","No","331490","31543","105143","2"
"HIP 92722","HIP 92722 B 2","Metal-rich body","No","331491","30404","101346","0"
"HIP 90202","HIP 90202 A 1","High metal content world","Yes","334","158734","529113","1"
"HIP 91221","HIP 91221 B 9","High metal content world","Yes","124270","149818","499393","2"
"HIP 91221","HIP 91221 B 7","High metal content world","Yes","124705","153905","513016","0"
"HIP 91221","HIP 91221 B 8","High metal content world","Yes","124705","150402","501339","0"
"HR 6805","HR 6805 AB 1","Water world","No","2549","120793","402643","1"
"HR 7558","HR 7558 5","Water world","Yes","3285","290011","966703","2"
"Swoilz IE-D c1-0","Swoilz IE-D c1-0 3","Water world","No","643","93674","312246","1"
"HIP 105976","HIP 105976 4","High metal content world","Yes","1185","160079","533596","1"
"HIP 105976","HIP 105976 5","High metal content world","Yes","1626","165638","552126","0"
"HIP 105976","HIP 105976 6","Earth-like world","No","2118","290853","969509","0"
"HIP 105976","HIP 105976 7","High metal content world","Yes","2127","158421","528069","0"
"HIP 117096","HIP 117096 A 8","High metal content world","Yes","2744","184981","616603","3"
"HIP 117096","HIP 117096 A 9","High metal content world","Yes","3673","171391","571303","0"
"HIP 113890","HIP 113890 1","Metal-rich body","No","42","33064","110213","2"
"HR 8749","HR 8749 5","High metal content world","Yes","5256","189632","632106","1"
"Synuefe ES-B c29-0","Synuefe ES-B c29-0 2","Metal-rich body","No","17","34360","114533","2"
"UY Sculptoris","UY Sculptoris 8 a","Rocky body","Yes","320","140123","467076","2"
"UY Sculptoris","UY Sculptoris 8","Water world","No","322","121213","404043","0"
"UY Sculptoris","UY Sculptoris 9","Class II gas giant","No","1012","30045","100149","0"
"NLTT 939","NLTT 939 B 1","Water world","No","60624","95161","317203","2"
"HIP 115448","HIP 115448 1","Metal-rich body","No","56","33064","110213","2"
"HIP 116025","HIP 116025 8","High metal content world","Yes","4685","155546","518486","2"
"HIP 116025","HIP 116025 7","High metal content world","Yes","4693","156843","522809","0"
"HR 8847","HR 8847 7 a","Rocky body","Yes","3578","132146","440486","1"
"HR 8847","HR 8847 7","High metal content world","Yes","3583","184642","615473","0"
"HIP 116356","HIP 116356 AB 2","High metal content world","Yes","1341","177238","590793","1"
"HIP 116356","HIP 116356 AB 3","Water world","Yes","1836","274025","913416","0"
"HIP 116356","HIP 116356 AB 6","Water world","No","4320","98149","327163","0"
"Synuefe XV-E c27-0","Synuefe XV-E c27-0 2","High metal content world","Yes","269","151446","504819","2"
"Synuefe XV-E c27-0","Synuefe XV-E c27-0 3","High metal content world","Yes","378","155090","516966","0"
"HIP 1863","HIP 1863 A 6","High metal content world","Yes","1729","180792","602639","2"
"HIP 3288","HIP 3288 7","High metal content world","Yes","2966","177098","590326","2"
"HIP 3288","HIP 3288 11","Ammonia world","No","13735","173466","578219","0"
"HIP 535","HIP 535 A 1","Metal-rich body","No","43","31405","104683","1"
"Synuefe CH-D c28-0","Synuefe CH-D c28-0 1","Water world","Yes","196","266558","888526","1"
"HIP 1111","HIP 1111 1","Metal-rich body","No","11","35035","116783","1"
"Synuefe GH-D c28-0","Synuefe GH-D c28-0 CD 3","High metal content world","Yes","5461","189279","630929","2"
"Synuefe GH-D c28-0","Synuefe GH-D c28-0 CD 4","High metal content world","Yes","5503","178994","596646","0"
"HIP 12715","HIP 12715 6","High metal content world","Yes","2870","155096","516986","2"
"HIP 12715","HIP 12715 7","High metal content world","Yes","5062","159667","532223","0"
"HIP 9773","HIP 9773 AB 2","High metal content world","Yes","2483","184084","613613","1"
"HIP 9773","HIP 9773 AB 2 a","Rocky body","Yes","2484","129208","430693","0"
"HIP 9773","HIP 9773 AB 3","Water world","Yes","2858","285655","952183","0"
"HIP 9773","HIP 9773 AB 5","High metal content world","Yes","3876","168655","562183","0"
"HIP 9773","HIP 9773 AB 4","Water world","Yes","3881","280064","933546","0"
"HIP 10862","HIP 10862 10","High metal content world","Yes","1894","185385","617949","1"
"Synuefe XZ-G c26-0","Synuefe XZ-G c26-0 7","High metal content world","Yes","269","153509","511696","2"
"Synuefe XZ-G c26-0","Synuefe XZ-G c26-0 8","High metal content world","Yes","346","169821","566069","0"
"Synuefe XZ-G c26-0","Synuefe XZ-G c26-0 9","High metal content world","Yes","346","161640","538799","0"
"Synuefe XZ-G c26-0","Synuefe XZ-G c26-0 10","Water world","Yes","486","275437","918123","0"
"Synuefe ST-I c25-0","Synuefe ST-I c25-0 A 1","Class II gas giant","No","3571","31395","104649","1"
"HIP 15212","HIP 15212 1","Metal-rich body","No","11","35478","118259","1"
"HIP 12872","HIP 12872 A 2","High metal content world","Yes","975","148740","495799","1"
"HIP 12872","HIP 12872 A 3","High metal content world","Yes","1323","151068","503559","0"
"HIP 10907","HIP 10907 B 4","High metal content world","Yes","11716","150700","502333","1"
"HIP 10907","HIP 10907 B 3","High metal content world","Yes","12541","154566","515219","0"
"HIP 10907","HIP 10907 B 2","High metal content world","Yes","12599","151030","503433","0"
"HIP 10134","HIP 10134 2","High metal content world","Yes","665","188360","627866","1"
"HIP 10134","HIP 10134 3 a","Rocky body","Yes","804","132494","441646","0"
"HIP 10134","HIP 10134 4","Water world","Yes","1140","310297","1034323","0"
"HIP 10927","HIP 10927 A 1","Metal-rich body","No","90","32655","108849","2"
"HIP 10927","HIP 10927 AB 1","Water world","No","7059","149725","499083","0"
"HIP 7543","HIP 7543 3","High metal content world","Yes","847","183014","610046","1"
"HIP 7543","HIP 7543 3 a","Rocky body","Yes","847","127135","423783","0"
"HIP 4015","HIP 4015 1","Metal-rich body","No","12","35152","117173","1"
"HIP 4015","HIP 4015 3","Metal-rich body","No","43","32666","108886","0"
"HIP 992","HIP 992 A 1","Metal-rich body","No","10","34018","113393","1"
"Synuefe QE-H c26-0","Synuefe QE-H c26-0 1","Earth-like world","No","445","265816","886053","2"
"Synuefe QE-H c26-0","Synuefe QE-H c26-0 2","Water world","No","747","98474","328246","0"
"Lambda-2 Sculptoris","Lambda-2 Sculptoris AB 1","High metal content world","Yes","3294","185150","617166","1"
"Lambda-2 Sculptoris","Lambda-2 Sculptoris AB 2","High metal content world","Yes","4200","179384","597946","0"
"HIP 5305","HIP 5305 7","High metal content world","Yes","459","168464","561546","1"
"HIP 5305","HIP 5305 6","High metal content world","Yes","460","165672","552239","0"
"Synuefe SZ-G c26-0","Synuefe SZ-G c26-0 A 2","Class II gas giant","No","957","30587","101956","1"
"HIP 5400","HIP 5400 B 7","Water world","Yes","13866","284282","947606","1"
"HIP 5400","HIP 5400 B 6","High metal content world","Yes","14652","172862","576206","0"
"HIP 5400","HIP 5400 B 5","High metal content world","Yes","14762","167632","558773","0"
"HIP 9075","HIP 9075 3","Water world","Yes","1536","292558","975193","2"
"Synuefe KX-L c23-0","Synuefe KX-L c23-0 6","High metal content world","Yes","367","171556","571853","2"
"Synuefe KX-L c23-0","Synuefe KX-L c23-0 5","High metal content world","Yes","368","171783","572609","0"
"Synuefe KX-L c23-0","Synuefe KX-L c23-0 7","High metal content world","Yes","442","173295","577649","0"
"Synuefe KX-L c23-0","Synuefe KX-L c23-0 8","Water world","Yes","618","301680","1005599","0"
"Synuefe ON-L c23-0","Synuefe ON-L c23-0 6","Earth-like world","No","429","264188","880626","2"
"HIP 9088","HIP 9088 BCD 1","Metal-rich body","No","3833","32819","109396","1"
"Synuefe AQ-P c21-0","Synuefe AQ-P c21-0 A 4","Water world","Yes","503","277387","924623","2"
"Synuefe AQ-P c21-0","Synuefe AQ-P c21-0 A 5","Water world","No","615","108482","361606","0"
"Synuefe SD-T c19-0","Synuefe SD-T c19-0 1","Metal-rich body","No","8","30275","100916","2"
"HR 884","HR 884 1","Metal-rich body","No","188","33728","112426","2"
"HR 884","HR 884 11 e","Rocky body","Yes","3499","129255","430849","0"
"HIP 17919","HIP 17919 1","Metal-rich body","No","76","36015","120049","2"
"Synuefe RN-T c19-0","Synuefe RN-T c19-0 1","High metal content world","Yes","299","156338","521126","1"
"Synuefe VI-T c19-0","Synuefe VI-T c19-0 5","High metal content world","Yes","93","153784","512613","2"
"Synuefe VI-T c19-0","Synuefe VI-T c19-0 6","High metal content world","Yes","93","151586","505286","0"
"Synuefe VI-T c19-0","Synuefe VI-T c19-0 7","Earth-like world","No","164","278367","927889","0"
"HIP 20152","HIP 20152 1 b","Rocky body","Yes","2871","127703","425676","1"
"HIP 18435","HIP 18435 C 4","Water world","No","158252","115350","384499","1"
"HIP 18379","HIP 18379 1","Metal-rich body","No","16","34160","113866","1"
"Synuefe XT-R c20-0","Synuefe XT-R c20-0 A 5","High metal content world","Yes","293","147167","490556","1"
"Synuefe XT-R c20-0","Synuefe XT-R c20-0 A 6","High metal content world","Yes","521","147865","492883","0"
"Synuefe XT-R c20-0","Synuefe XT-R c20-0 B 5","High metal content world","Yes","9085","152180","507266","0"
"Synuefe XT-R c20-0","Synuefe XT-R c20-0 B 7","Ammonia world","No","9230","130832","436106","0"
"HIP 20510","HIP 20510 B 6","High metal content world","Yes","13125","165798","552659","1"
"HIP 20510","HIP 20510 B 5","High metal content world","Yes","14119","165764","552546","0"
"Synuefe DQ-P c21-0","Synuefe DQ-P c21-0 1","High metal content world","Yes","360","162044","540146","2"
"Synuefe CF-R c20-0","Synuefe CF-R c20-0 2","High metal content world","Yes","315","167116","557053","1"
"Synuefe CF-R c20-0","Synuefe CF-R c20-0 3","High metal content world","Yes","457","160797","535989","0"
"HIP 16691","HIP 16691 1","High metal content world","Yes","542","188006","626686","3"
"HIP 16691","HIP 16691 3","Water world","No","992","97453","324843","0"
"Synuefe BL-O c22-0","Synuefe BL-O c22-0 A 1","High metal content world","Yes","416","161191","537303","1"
"Synuefe BL-O c22-0","Synuefe BL-O c22-0 A 2","Water world","Yes","417","264126","880419","0"
"Synuefe XE-Q c21-0","Synuefe XE-Q c21-0 ABC 1","High metal content world","Yes","335","170008","566693","1"
"Synuefe XE-Q c21-0","Synuefe XE-Q c21-0 ABC 2","Water world","Yes","432","275628","918759","0"
"HIP 16876","HIP 16876 4","High metal content world","Yes","1373","184886","616286","1"
"HIP 16876","HIP 16876 5","Water world","Yes","2413","274446","914819","0"
"HIP 16876","HIP 16876 6","Water world","No","2954","103321","344403","0"
"Synuefe IM-V c18-0","Synuefe IM-V c18-0 1","Metal-rich body","No","7","33836","112786","2"
"HIP 18269","HIP 18269 D 3","Water world","No","17883","109706","365686","1"
"HIP 18269","HIP 18269 D 1","High metal content world","Yes","17932","187977","626589","0"
"HIP 18269","HIP 18269 D 1 a","Water world","Yes","17932","259231","864103","0"
"HIP 17069","HIP 17069 2","Water world","Yes","846","284185","947283","1"
"HIP 22494","HIP 22494 4","High metal content world","Yes","838","164904","549679","2"
"HIP 22494","HIP 22494 5","High metal content world","Yes","1056","162681","542269","0"
"HIP 22494","HIP 22494 6","Water world","No","1859","108674","362246","0"
"HIP 24995","HIP 24995 1","Metal-rich body","No","10","35002","116673","2"
"HIP 28256","HIP 28256 AB 1","Ammonia world","No","3270","167525","558416","2"
"HR 1799","HR 1799 7","High metal content world","Yes","3789","156725","522416","2"
"HR 1799","HR 1799 8","Water world","Yes","5391","273153","910509","0"
"Synuefe RN-B c16-0","Synuefe RN-B c16-0 A 1","Water world","Yes","212","274572","915239","1"
"Synuefe QC-D c15-0","Synuefe QC-D c15-0 5","Water world","No","111","100795","335983","2"
"Synuefe QC-D c15-0","Synuefe QC-D c15-0 6","Water world","No","153","95527","318423","0"
"HIP 29229","HIP 29229 5","High metal content world","Yes","2331","165103","550343","3"
"HIP 29175","HIP 29175 1","Metal-rich body","No","91","37524","125079","1"
"HIP 30796","HIP 30796 6","High metal content world","Yes","1991","168300","560999","1"
"HIP 31382","HIP 31382 A 1","Metal-rich body","No","213","34360","114533","1"
"HIP 32455","HIP 32455 3","High metal content world","Yes","2417","180578","601926","1"
"HIP 32455","HIP 32455 5","High metal content world","Yes","3489","184576","615253","0"
"Synuefe BQ-W c18-0","Synuefe BQ-W c18-0 8","Water world","Yes","436","276935","923116","1"
"Synuefe BQ-W c18-0","Synuefe BQ-W c18-0 9","Water world","No","643","100470","334899","0"
"Synuefe GW-U c19-0","Synuefe GW-U c19-0 9","Water world","Yes","218","279377","931256","1"
"HIP 37603","HIP 37603 AB 4","Water world","Yes","3286","290334","967779","1"
"HIP 39108","HIP 39108 A 5","High metal content world","Yes","2775","163924","546413","1"
"HIP 39108","HIP 39108 B 3","High metal content world","Yes","20249","157237","524123","0"
"HIP 39108","HIP 39108 B 1","High metal content world","Yes","20369","161298","537659","0"
"HIP 39108","HIP 39108 B 2","High metal content world","Yes","20767","153227","510756","0"
"HIP 39695","HIP 39695 B 6","High metal content world","Yes","2013","149299","497663","2"
"HIP 39695","HIP 39695 B 7","High metal content world","Yes","2013","147812","492706","0"
"HIP 39695","HIP 39695 B 3","High metal content world","Yes","2083","149364","497879","0"
"Wregoe UQ-L c21-0","Wregoe UQ-L c21-0 5","High metal content world","Yes","256","161444","538146","1"
"Wregoe UQ-L c21-0","Wregoe UQ-L c21-0 6","Water world","Yes","451","280983","936609","0"
"HIP 39196","HIP 39196 B 4","Water world","Yes","21601","269577","898589","1"
"HIP 40539","HIP 40539 2","High metal content world","Yes","1017","179583","598609","1"
"188 Puppis","188 Puppis DE 2","Ammonia world","No","27169","140601","468669","1"
"HR 2900","HR 2900 B 1","Metal-rich body","No","148369","35635","118783","1"
"HR 2900","HR 2900 B 2","Metal-rich body","No","148450","36113","120376","0"
"Synuefe IC-T c20-0","Synuefe IC-T c20-0 1","Water world","Yes","360","255334","851113","1"
"Wregoe CS-J c22-0","Wregoe CS-J c22-0 A 1","Metal-rich body","No","6","31663","105543","2"
"HIP 37841","HIP 37841 1","Metal-rich body","No","19","36065","120216","1"
"Synuefe VJ-P c22-0","Synuefe VJ-P c22-0 A 2","Ammonia world","No","415","139191","463969","1"
"HR 3160","HR 3160 B 1","High metal content world","Yes","15736","161896","539653","2"
"HR 3160","HR 3160 B 3","Water world","Yes","15856","256203","854009","0"
"HR 3160","HR 3160 B 2","High metal content world","Yes","15915","149076","496919","0"
"HR 3261","HR 3261 ABCD 4","High metal content world","Yes","2898","190024","633413","1"
"HIP 36328","HIP 36328 BC 4","High metal content world","Yes","6589","153385","511283","2"
"HIP 36328","HIP 36328 BC 3","High metal content world","Yes","6620","151158","503859","0"
"HIP 36328","HIP 36328 BC 5","High metal content world","Yes","6643","155243","517476","0"
"HIP 36328","HIP 36328 BC 6","High metal content world","Yes","6645","151793","505976","0"
"Wregoe QE-P c19-0","Wregoe QE-P c19-0 A 1","Metal-rich body","No","7","30396","101319","2"
"Synuefe AK-Y c17-0","Synuefe AK-Y c17-0 A 8","Water world","Yes","138","301470","1004899","2"
"HIP 33713","HIP 33713 B 6","High metal content world","Yes","5129","158705","529016","1"
"Wregoe IN-S c17-0","Wregoe IN-S c17-0 B 4","High metal content world","Yes","12029","157414","524713","1"
"Wregoe CM-U c16-0","Wregoe CM-U c16-0 1","Water world","No","362","96515","321716","2"
"HIP 36260","HIP 36260 1","Metal-rich body","No","149","31602","105339","2"
"HIP 33628","HIP 33628 1","Metal-rich body","No","51","33814","112713","2"
"HIP 31691","HIP 31691 4","Water world","Yes","3546","300077","1000256","2"
"HR 2430","HR 2430 AB 1","Metal-rich body","No","232","38544","128479","1"
"CoRoT-7","CoRoT-7 1","Metal-rich body","No","8","38758","129193","1"
"HR 2552","HR 2552 5","High metal content world","Yes","4383","187480","624933","1"
"HR 2552","HR 2552 6","Water world","Yes","5748","298981","996603","0"
"Synuefe SD-A c17-0","Synuefe SD-A c17-0 A 6","High metal content world","Yes","227","162758","542526","2"
"HIP 32161","HIP 32161 A 1","Metal-rich body","No","16","35287","117623","2"
"Wregoe KT-Q c18-0","Wregoe KT-Q c18-0 1","High metal content world","Yes","130","151432","504773","1"
"Wregoe KT-Q c18-0","Wregoe KT-Q c18-0 2","High metal content world","Yes","187","152820","509399","0"
"Wregoe KT-Q c18-0","Wregoe KT-Q c18-0 3","Water world","No","248","98349","327829","0"
"HIP 35092","HIP 35092 A 6","High metal content world","Yes","966","164672","548906","1"
"HIP 35092","HIP 35092 A 7 a","Rocky body","Yes","1259","128789","429296","0"
"HIP 35092","HIP 35092 A 7","High metal content world","Yes","1260","180062","600206","0"
"HIP 35092","HIP 35092 A 8","Water world","Yes","1555","273999","913329","0"
"HIP 35092","HIP 35092 A 9","High metal content world","Yes","1557","165543","551809","0"
"HIP 35092","HIP 35092 B 1","High metal content world","Yes","9895","189346","631153","0"
"Synuefe BL-W c18-0","Synuefe BL-W c18-0 A 5","High metal content world","Yes","184","156768","522559","2"
"Synuefe BL-W c18-0","Synuefe BL-W c18-0 A 6","Water world","Yes","338","271244","904146","0"
"Synuefe BL-W c18-0","Synuefe BL-W c18-0 B 5","High metal content world","Yes","2320","148711","495703","0"
"Synuefe MS-S c20-0","Synuefe MS-S c20-0 A 1","Water world","No","237","94308","314359","2"
"HIP 24913","HIP 24913 B 1","Metal-rich body","No","4555","33310","111033","1"
"Synuefe RD-S c20-0","Synuefe RD-S c20-0 2","Ammonia world","No","410","161283","537609","2"
"5 G. Caeli","5 G. Caeli 6","High metal content world","Yes","2792","170169","567229","2"
"5 G. Caeli","5 G. Caeli 7","High metal content world","Yes","3572","167692","558973","0"
"5 G. Caeli","5 G. Caeli 8","High metal content world","Yes","4705","165076","550253","0"
"HIP 27434","HIP 27434 7","Ammonia world","No","4179","209011","696703","2"
"Synuefe EB-N c23-0","Synuefe EB-N c23-0 2","Metal-rich body","No","13","33173","110576","2"
"HIP 28436","HIP 28436 1","Water world","Yes","397","249503","831676","2"
"Synuefe KH-L c24-0","Synuefe KH-L c24-0 A 3","Ammonia world","No","977","140946","469819","2"
"Synuefe YE-P c22-0","Synuefe YE-P c22-0 3","Water world","No","215","93444","311479","2"
"Synuefe DL-N c23-0","Synuefe DL-N c23-0 B 1","Ammonia world","No","96744","165931","553103","1"
"HIP 33093","HIP 33093 A 5","Water world","Yes","2003","259647","865489","1"
"HIP 35183","HIP 35183 A 1","Metal-rich body","No","30","34181","113936","1"
"HIP 35183","HIP 35183 A 2","Metal-rich body","No","54","35742","119139","0"
"HIP 35183","HIP 35183 A 3","Metal-rich body","No","93","36118","120393","0"
"Synuefe IM-L c24-0","Synuefe IM-L c24-0 1","Water world","No","335","90327","301089","1"
"HIP 35424","HIP 35424 4","Water world","Yes","962","264068","880226","1"
"Synuefe HM-L c24-0","Synuefe HM-L c24-0 1","High metal content world","Yes","312","149559","498529","1"
"Synuefe HM-L c24-0","Synuefe HM-L c24-0 2","Ammonia world","No","761","134558","448526","0"
"HIP 32253","HIP 32253 A 5","High metal content world","Yes","630","182337","607789","1"
"HIP 35095","HIP 35095 A 1","Metal-rich body","No","131","33124","110413","1"
"HIP 35670","HIP 35670 A 5","High metal content world","Yes","1230","172059","573529","2"
"HIP 35670","HIP 35670 A 6","High metal content world","Yes","1235","167024","556746","0"
"HIP 36170","HIP 36170 1","Metal-rich body","No","13","33590","111966","1"
"Synuefe DR-L c24-0","Synuefe DR-L c24-0 7","High metal content world","Yes","404","159317","531056","1"
"Synuefe AL-N c23-0","Synuefe AL-N c23-0 A 1","High metal content world","Yes","317","146980","489933","1"
"HIP 32935","HIP 32935 A 6","High metal content world","Yes","1038","168429","561429","1"
"HIP 32935","HIP 32935 A 7","High metal content world","Yes","1370","172939","576463","0"
"HIP 32935","HIP 32935 A 8","High metal content world","Yes","1734","169004","563346","0"
"HIP 33683","HIP 33683 6","High metal content world","Yes","1874","168469","561563","1"
"HIP 33683","HIP 33683 5","High metal content world","Yes","1883","172416","574719","0"
"Synuefe TY-Q c21-0","Synuefe TY-Q c21-0 1","High metal content world","Yes","390","180070","600233","2"
"Synuefe TY-Q c21-0","Synuefe TY-Q c21-0 3","Ammonia world","No","1063","143673","478909","0"
"HIP 31061","HIP 31061 A 8","High metal content world","Yes","2387","181417","604723","1"
"HIP 31061","HIP 31061 A 9","High metal content world","Yes","2864","183947","613156","0"
"HIP 31061","HIP 31061 A 10","High metal content world","Yes","2871","177438","591459","0"
"HIP 31061","HIP 31061 A 11","Water world","Yes","4272","295369","984563","0"
"Synuefe UY-Q c21-0","Synuefe UY-Q c21-0 1","Water world","No","324","90602","302006","1"
"HIP 34028","HIP 34028 B 5","Water world","No","170995","100023","333409","1"
"HIP 34028","HIP 34028 B 2","Water world","Yes","171027","254984","849946","0"
"HIP 34028","HIP 34028 B 1","High metal content world","Yes","171038","157477","524923","0"
"HIP 33630","HIP 33630 A 5","High metal content world","Yes","1221","149566","498553","1"
"HIP 33630","HIP 33630 A 6","Water world","Yes","1583","274145","913816","0"
"HIP 33630","HIP 33630 A 7","High metal content world","Yes","2094","170004","566679","0"
"HIP 33630","HIP 33630 B 6","Water world","Yes","11700","273326","911086","0"
"HIP 33630","HIP 33630 B 5","High metal content world","Yes","11861","155048","516826","0"
"HIP 33298","HIP 33298 6","High metal content world","Yes","2657","168731","562436","1"
"HIP 34031","HIP 34031 B 4","Metal-rich body","No","4960","30687","102289","1"
"HIP 34031","HIP 34031 B 1","Metal-rich body","No","4990","30846","102819","0"
"HIP 34031","HIP 34031 B 2","Metal-rich body","No","4990","30725","102416","0"
"HIP 34031","HIP 34031 B 3","Metal-rich body","No","5007","30137","100456","0"
"HIP 34031","HIP 34031 B 5","Metal-rich body","No","5020","31864","106213","0"
"HIP 30455","HIP 30455 B 1","Metal-rich body","No","10831","34736","115786","2"
"HIP 29507","HIP 29507 1","Metal-rich body","No","45","35509","118363","2"
"HIP 29507","HIP 29507 2","Metal-rich body","No","135","36191","120636","0"
"HIP 29855","HIP 29855 4","High metal content world","Yes","2821","168967","563223","1"
"Synuefe CA-Y c17-0","Synuefe CA-Y c17-0 A 2","Class II gas giant","No","1160","30394","101313","1"
"Synuefe CA-Y c17-0","Synuefe CA-Y c17-0 B 5","Water world","No","38342","92703","309009","0"
"Synuefe BA-Y c17-0","Synuefe BA-Y c17-0 1","Metal-rich body","No","20","31183","103943","1"
"Synuefe BA-Y c17-0","Synuefe BA-Y c17-0 6","High metal content world","Yes","313","171287","570956","0"
"Synuefe EG-W c18-0","Synuefe EG-W c18-0 A 1","Metal-rich body","No","13","30173","100576","1"
"Synuefe DG-W c18-0","Synuefe DG-W c18-0 A 1","High metal content world","Yes","185","178826","596086","1"
"Synuefe DG-W c18-0","Synuefe DG-W c18-0 A 2","Water world","Yes","243","283528","945093","0"
"Synuefe DG-W c18-0","Synuefe DG-W c18-0 A 3","Water world","No","347","104944","349813","0"
"HR 1823","HR 1823 9","High metal content world","Yes","3447","151696","505653","1"
"HR 1823","HR 1823 10","Water world","Yes","4246","250711","835703","0"
"HIP 120001","HIP 120001 A 3","Water world","Yes","506","273376","911253","1"
"HIP 120001","HIP 120001 A 4","High metal content world","Yes","507","165968","553226","0"
"HIP 23019","HIP 23019 1","Metal-rich body","No","27","30483","101609","1"
"HR 1758","HR 1758 B 1","Metal-rich body","No","1613","31549","105163","1"
"HR 1758","HR 1758 B 2","Metal-rich body","No","1627","30102","100339","0"
"1 Leporis","1 Leporis A 1","Metal-rich body","No","230","32337","107789","1"
"Synuefe FL-X c17-0","Synuefe FL-X c17-0 1","High metal content world","Yes","234","170474","568246","1"
"Synuefe FL-X c17-0","Synuefe FL-X c17-0 2","Water world","Yes","346","290480","968266","0"
"Synuefe ZJ-Z c16-0","Synuefe ZJ-Z c16-0 B 7","Ammonia world","No","4022","136054","453513","1"
"Synuefe ZJ-Z c16-0","Synuefe ZJ-Z c16-0 B 3","High metal content world","Yes","4147","149730","499099","0"
"Synuefe ZJ-Z c16-0","Synuefe ZJ-Z c16-0 B 1","High metal content world","Yes","4204","151724","505746","0"
"Synuefe ZJ-Z c16-0","Synuefe ZJ-Z c16-0 B 2","High metal content world","Yes","4254","151990","506633","0"
"HIP 22592","HIP 22592 ABC 2","Water world","No","3838","127584","425279","1"
"Synuefe AU-A c16-0","Synuefe AU-A c16-0 B 1","Metal-rich body","No","83","33121","110403","1"
"HIP 22231","HIP 22231 6","High metal content world","Yes","2277","179963","599876","1"
"Synuefe BP-A c16-0","Synuefe BP-A c16-0 1","Metal-rich body","No","8","32371","107903","1"
"Synuefe BP-A c16-0","Synuefe BP-A c16-0 2","Ammonia world","No","375","173870","579566","0"
"HIP 22436","HIP 22436 1","High metal content world","Yes","525","182917","609723","2"
"Synuefe LR-V c18-0","Synuefe LR-V c18-0 A 1","High metal content world","Yes","356","160649","535496","1"
"Synuefe LR-V c18-0","Synuefe LR-V c18-0 A 2","High metal content world","Yes","652","155068","516893","0"
"Synuefe JL-X c17-0","Synuefe JL-X c17-0 6","Water world","No","808","92461","308203","2"
"HIP 27365","HIP 27365 4","High metal content world","Yes","1104","171456","571519","2"
"HIP 27365","HIP 27365 5","High metal content world","Yes","1477","165434","551446","0"
"HR 2009","HR 2009 A 3","High metal content world","Yes","4501","166003","553343","2"
"HR 2009","HR 2009 A 4","Earth-like world","No","4515","265154","883846","0"
"HR 2009","HR 2009 A 5","Water world","Yes","6042","260306","867686","0"
"HR 2009","HR 2009 A 6","High metal content world","Yes","6057","155917","519723","0"
"HIP 25504","HIP 25504 B 4","Water world","Yes","21386","283041","943469","1"
"HIP 25504","HIP 25504 B 3","High metal content world","Yes","21555","166912","556373","0"
"Synuefe QH-V c18-0","Synuefe QH-V c18-0 1","Water world","No","511","98301","327669","1"
"HIP 20911","HIP 20911 A 6","Water world","Yes","3296","282227","940756","3"
"HIP 17501","HIP 17501 4","High metal content world","Yes","2355","192233","640776","2"
"Synuefe UJ-H c26-0","Synuefe UJ-H c26-0 1","Metal-rich body","No","8","32796","109319","2"
"Synuefe UJ-H c26-0","Synuefe UJ-H c26-0 7","Class II gas giant","No","1845","30527","101756","0"
"Synuefe QD-J c25-0","Synuefe QD-J c25-0 A 6","High metal content world","Yes","496","164691","548969","1"
"Synuefe QD-J c25-0","Synuefe QD-J c25-0 B 4","High metal content world","Yes","3328","150209","500696","0"
"Synuefe NI-J c25-0","Synuefe NI-J c25-0 A 1","Metal-rich body","No","13","32670","108899","1"
"Synuefe JC-L c24-0","Synuefe JC-L c24-0 7","High metal content world","Yes","298","170251","567503","1"
"Synuefe JC-L c24-0","Synuefe JC-L c24-0 8","High metal content world","Yes","500","170006","566686","0"
"Synuefe HR-M c23-0","Synuefe HR-M c23-0 1","Metal-rich body","No","9","30393","101309","1"
"Synuefe HR-M c23-0","Synuefe HR-M c23-0 2","Class II gas giant","No","1434","30564","101879","0"
"HIP 22818","HIP 22818 A 1","Metal-rich body","No","83","30460","101533","1"
"HIP 16049","HIP 16049 A 9","Water world","No","1216","102234","340779","2"
"HR 960","HR 960 7","High metal content world","Yes","3116","191863","639543","1"
"HR 960","HR 960 8","High metal content world","Yes","4331","192421","641403","0"
"Synuefe ND-J c25-0","Synuefe ND-J c25-0 A 3","Water world","No","764","122719","409063","2"
"HIP 12772","HIP 12772 B 2","High metal content world","Yes","31747","166486","554953","2"
"HIP 12772","HIP 12772 B 1","Water world","Yes","31800","259793","865976","0"
"HIP 1457","HIP 1457 C 1","High metal content world","Yes","8375","147981","493269","2"
